submission_date,state,tot_cases
9/19/2020,New York,209240
3/22/2020,Arkansas,164
6/14/2020,Virginia,54886
2/1/2020,New York,0
12/24/2020,West Virginia,77239
3/29/2020,Nebraska,120
4/10/2020,,0
6/24/2020,Illinois,139540
8/14/2020,Wisconsin,68681
12/23/2020,Wisconsin,500443
10/29/2020,Nevada,98554
6/27/2020,California,206433
8/7/2020,Kentucky,33796
9/16/2020,Alabama,141087
11/18/2020,Idaho,86435
5/7/2020,Connecticut,31784
3/24/2020,North Dakota,37
4/8/2020,Virginia,4042
9/27/2020,Kentucky,66491
10/27/2020,Oregon,42808
5/9/2020,Nebraska,8234
4/21/2020,California,33261
7/26/2020,Indiana,62372
11/14/2020,,1
8/15/2020,Massachusetts,123199
5/13/2020,Minnesota,12917
1/27/2020,Wisconsin,0
6/26/2020,Oregon,7818
2/19/2020,Idaho,0
10/4/2020,South Carolina,151582
7/26/2020,Ohio,84073
7/9/2020,New Mexico,14251
1/31/2020,Louisiana,0
1/26/2021,Kentucky,350528
1/11/2021,Oregon,126607
10/30/2020,Washington,106573
2/25/2020,Wisconsin,0
1/17/2021,Maryland,328214
8/26/2020,Connecticut,52220
1/12/2021,,84639
10/27/2020,,262840
10/1/2020,Arkansas,84821
4/30/2020,Virginia,16901
8/28/2020,Indiana,91313
4/13/2020,North Dakota,331
7/12/2020,Michigan,76776
3/28/2020,Pennsylvania,2752
6/21/2020,Nebraska,17810
1/31/2020,Washington,1
12/16/2020,,374547
2/16/2020,Indiana,0
4/29/2020,New York,134850
8/28/2020,Louisiana,146944
2/3/2020,Virginia,0
12/2/2020,New Mexico,100963
11/18/2020,New York,287050
6/25/2020,Ohio,47651
5/14/2020,Washington,17773
3/11/2020,Idaho,0
6/14/2020,Alabama,26287
11/8/2020,Washington,117331
5/16/2020,Arizona,13631
5/25/2020,South Carolina,10178
12/1/2020,California,1225189
11/21/2020,Louisiana,216709
4/25/2020,,0
12/8/2020,New York,385232
8/20/2020,Arkansas,54765
9/11/2020,,0
8/18/2020,Michigan,103403
4/15/2020,California,24424
5/24/2020,Oklahoma,5691
4/4/2020,Maryland,3125
1/24/2020,,0
1/11/2021,Florida,1461958
10/16/2020,Louisiana,177726
12/6/2020,Kentucky,200632
2/4/2020,Florida,0
11/25/2020,Virginia,228901
8/8/2020,West Virginia,7563
2/21/2020,Georgia,0
11/28/2020,Maryland,196447
12/29/2020,Nevada,220124
7/19/2020,Pennsylvania,101738
10/17/2020,Minnesota,121090
2/4/2020,Kentucky,0
2/27/2020,Florida,0
8/8/2020,Texas,481483
3/31/2020,California,8131
11/13/2020,Oklahoma,158451
10/13/2020,Pennsylvania,174646
5/17/2020,Colorado,21797
1/27/2020,Connecticut,0
5/13/2020,New York,153411
3/20/2020,Maryland,149
7/1/2020,South Carolina,37919
8/12/2020,Colorado,51756
11/26/2020,,3
6/1/2020,Nebraska,14345
11/17/2020,Pennsylvania,275513
5/24/2020,Wisconsin,15277
7/18/2020,New York,185184
2/2/2020,California,3
1/23/2020,,0
10/6/2020,Michigan,143878
3/10/2020,,36
1/24/2020,Virginia,0
9/6/2020,Wisconsin,86353
12/23/2020,Oregon,105970
7/5/2020,Nebraska,19929
3/21/2020,Washington,1793
10/5/2020,Maryland,128204
6/3/2020,,4023
9/22/2020,Louisiana,163253
2/19/2020,Michigan,0
6/17/2020,,0
11/26/2020,,50678
10/2/2020,Iowa,91025
10/23/2020,Arizona,235882
4/3/2020,Wisconsin,1916
7/19/2020,Iowa,38723
9/2/2020,Louisiana,150734
6/10/2020,,5352
8/11/2020,Oklahoma,47908
1/24/2021,Minnesota,454989
3/30/2020,Arkansas,504
9/14/2020,Wyoming,4392
6/14/2020,Oregon,5636
11/8/2020,Ohio,250268
12/8/2020,Ohio,510018
9/4/2020,Tennessee,160597
10/21/2020,Washington,99874
7/7/2020,Illinois,149574
7/17/2020,,0
8/8/2020,South Carolina,99460
9/9/2020,Arkansas,67255
1/7/2021,Florida,1404374
9/8/2020,West Virginia,11661
2/4/2020,Iowa,0
3/9/2020,Wyoming,0
2/26/2020,Connecticut,0
10/19/2020,New York,230508
11/16/2020,Massachusetts,194407
2/8/2020,Idaho,0
10/29/2020,Illinois,400171
4/1/2020,California,8155
10/16/2020,Illinois,339761
4/27/2020,Connecticut,25997
12/31/2020,Mississippi,218386
12/21/2020,Washington,226635
6/22/2020,Arizona,54586
8/5/2020,South Carolina,95472
2/2/2020,,0
12/12/2020,North Dakota,87871
3/17/2020,Iowa,29
1/1/2021,New York,559358
4/12/2020,Nevada,2836
4/18/2020,West Virginia,825
3/13/2020,California,264
6/18/2020,North Dakota,3193
3/10/2020,Indiana,5
10/18/2020,Washington,98201
9/11/2020,Mississippi,89620
6/2/2020,Pennsylvania,73405
9/20/2020,Iowa,80048
11/25/2020,California,1144049
9/20/2020,Minnesota,90942
1/11/2021,Washington,276686
4/25/2020,North Dakota,803
4/18/2020,,0
6/19/2020,North Dakota,3226
8/29/2020,Wisconsin,79730
5/2/2020,Washington,15003
11/12/2020,Illinois,536542
12/8/2020,Indiana,392663
8/23/2020,Washington,71012
3/21/2020,Oregon,137
5/23/2020,Louisiana,37163
1/5/2021,Virginia,377300
5/6/2020,Michigan,45054
7/7/2020,Connecticut,47033
1/27/2020,Texas,0
10/19/2020,New Mexico,37302
3/14/2020,Washington,642
9/18/2020,Iowa,78556
4/18/2020,Wisconsin,4199
7/5/2020,Tennessee,51431
9/14/2020,Alabama,139459
10/26/2020,Texas,867075
12/15/2020,New York,432330
12/16/2020,Indiana,440850
8/23/2020,Wisconsin,75205
12/6/2020,Idaho,110510
11/13/2020,North Dakota,62872
1/15/2021,West Virginia,106649
6/27/2020,Minnesota,35549
9/18/2020,Nebraska,40387
9/28/2020,South Carolina,146455
11/12/2020,Texas,1075654
5/18/2020,Oregon,3687
6/18/2020,Nevada,12094
4/4/2020,Oklahoma,1159
1/25/2021,Oregon,138587
10/3/2020,North Dakota,23550
12/22/2020,Pennsylvania,571551
10/3/2020,Oregon,34511
9/22/2020,Connecticut,56160
3/13/2020,Nebraska,10
5/8/2020,Maryland,31534
12/31/2020,Tennessee,586802
3/17/2020,Wyoming,11
4/8/2020,Connecticut,8781
10/3/2020,,247287
11/6/2020,Mississippi,125885
10/29/2020,Nebraska,68150
10/26/2020,Oklahoma,123816
1/23/2021,Connecticut,237815
5/23/2020,Nebraska,11989
9/7/2020,Connecticut,53365
10/26/2020,California,901010
4/2/2020,Georgia,5443
1/19/2021,California,2996968
11/22/2020,Virginia,221039
1/30/2020,New Mexico,0
11/30/2020,Tennessee,374493
7/25/2020,Minnesota,50291
9/19/2020,Arkansas,75160
1/9/2021,Texas,1938551
8/25/2020,Kentucky,44568
1/6/2021,New Mexico,149984
6/3/2020,Idaho,2990
3/27/2020,Louisiana,2746
12/10/2020,Illinois,823531
9/30/2020,Illinois,295763
4/30/2020,West Virginia,1125
1/23/2020,Massachusetts,0
9/30/2020,Colorado,70536
5/25/2020,Mississippi,13731
10/11/2020,Louisiana,174587
9/16/2020,,0
5/19/2020,Louisiana,35161
9/26/2020,Arizona,216826
9/8/2020,Idaho,33981
8/2/2020,Alabama,91444
10/18/2020,Iowa,107122
11/1/2020,Alabama,193985
7/19/2020,Georgia,145038
12/7/2020,Michigan,436400
11/29/2020,Wyoming,32489
4/27/2020,Georgia,23268
11/26/2020,Idaho,97054
3/31/2020,Louisiana,5237
6/25/2020,Michigan,68989
11/16/2020,New Mexico,65454
1/2/2021,Georgia,685122
3/20/2020,,14
2/6/2020,Massachusetts,1
9/21/2020,,42596
7/7/2020,Iowa,32029
8/4/2020,Michigan,93175
11/8/2020,North Dakota,54305
11/6/2020,Arizona,254764
5/8/2020,Georgia,30363
6/24/2020,Minnesota,33763
9/27/2020,Florida,692234
6/29/2020,Iowa,28782
12/13/2020,Alabama,295631
6/30/2020,North Dakota,3576
9/12/2020,Colorado,60907
10/21/2020,,257625
8/2/2020,Tennessee,109627
3/21/2020,Arizona,104
7/16/2020,Idaho,13133
4/21/2020,New Mexico,2072
7/13/2020,Virginia,72443
7/15/2020,Maryland,75664
7/6/2020,Florida,203376
8/25/2020,Oklahoma,58906
7/5/2020,Wyoming,1634
10/21/2020,,0
11/1/2020,Nevada,101479
2/5/2020,Tennessee,0
10/1/2020,Oregon,33862
10/25/2020,Kentucky,96942
8/16/2020,Florida,567375
2/24/2020,Washington,1
2/26/2020,Tennessee,0
3/21/2020,,6211
4/23/2020,New Mexico,2379
10/2/2020,California,817277
7/6/2020,Wyoming,1675
9/15/2020,New Mexico,26923
5/6/2020,North Dakota,1323
1/29/2020,Nevada,0
4/22/2020,Indiana,12438
1/26/2020,Idaho,0
9/4/2020,Virginia,125727
9/6/2020,North Dakota,13801
11/25/2020,Arizona,310850
6/6/2020,Pennsylvania,75592
1/7/2021,,476045
6/29/2020,Minnesota,35861
12/12/2020,Nebraska,147688
3/2/2020,California,21
2/2/2020,Arizona,1
3/15/2020,Georgia,191
6/23/2020,Indiana,42871
11/11/2020,Washington,120011
9/4/2020,South Carolina,123325
11/25/2020,Wyoming,30761
7/24/2020,,224804
5/7/2020,Virginia,22342
5/5/2020,,0
4/28/2020,Wisconsin,6289
1/21/2021,Wyoming,50424
4/24/2020,Texas,22806
5/31/2020,Connecticut,42201
5/2/2020,Wyoming,579
4/25/2020,Nevada,4539
7/9/2020,Arizona,112671
7/29/2020,Maryland,87177
10/9/2020,South Carolina,155676
3/7/2020,Massachusetts,9
3/4/2020,Ohio,0
4/1/2020,,48462
7/31/2020,Nevada,48312
7/25/2020,Florida,409585
9/16/2020,Maryland,118519
5/15/2020,Texas,45198
12/13/2020,Oregon,93853
2/29/2020,Arizona,1
3/17/2020,West Virginia,1
12/21/2020,Louisiana,287261
2/20/2020,Connecticut,0
1/26/2021,California,3153186
3/1/2020,Ohio,0
2/5/2020,West Virginia,0
5/4/2020,Louisiana,29746
10/27/2020,,0
10/21/2020,Michigan,167872
10/1/2020,West Virginia,16024
2/19/2020,Florida,0
4/29/2020,Idaho,1984
10/23/2020,Pennsylvania,190579
3/16/2020,New Mexico,21
5/5/2020,Michigan,44397
7/30/2020,Nebraska,25766
6/29/2020,,0
2/22/2020,California,10
8/24/2020,Wyoming,3603
9/29/2020,Michigan,136820
3/13/2020,Indiana,12
7/21/2020,Louisiana,96583
9/9/2020,Connecticut,53871
7/26/2020,,0
4/7/2020,Arkansas,993
3/14/2020,Arkansas,12
2/6/2020,Alabama,0
1/30/2020,Colorado,0
11/9/2020,Louisiana,193372
8/23/2020,Connecticut,51519
11/15/2020,Arkansas,133040
9/26/2020,Kentucky,66036
9/9/2020,Oklahoma,71877
3/9/2020,Nebraska,4
4/3/2020,,0
1/25/2021,South Carolina,421417
6/6/2020,Florida,61246
8/28/2020,Arizona,200658
4/10/2020,,0
11/23/2020,Oregon,66333
6/19/2020,Virginia,57443
12/14/2020,North Dakota,88393
8/4/2020,,0
9/7/2020,North Dakota,13872
4/24/2020,California,39254
9/13/2020,Alabama,138755
8/2/2020,Arkansas,43810
3/23/2020,Idaho,51
11/27/2020,Idaho,98500
3/19/2020,Massachusetts,328
10/13/2020,,55516
2/23/2020,Massachusetts,1
8/29/2020,Kentucky,47577
4/30/2020,Connecticut,27700
11/20/2020,West Virginia,38480
9/3/2020,Oklahoma,66868
12/31/2020,Washington,246752
7/10/2020,Indiana,50300
8/31/2020,,235264
12/12/2020,New York,413292
7/18/2020,Iowa,38041
5/25/2020,Illinois,112017
1/22/2020,Nebraska,0
4/12/2020,South Carolina,3319
2/23/2020,Illinois,2
8/21/2020,California,650336
11/28/2020,North Dakota,78658
9/22/2020,Colorado,66053
4/8/2020,Ohio,5148
12/26/2020,Michigan,516326
11/4/2020,Illinois,443815
1/25/2021,,582175
4/14/2020,Iowa,1899
10/22/2020,South Carolina,167485
10/23/2020,Nebraska,62510
6/8/2020,Tennessee,27129
8/24/2020,Alabama,116710
6/12/2020,Wyoming,1027
10/6/2020,Arizona,221934
4/19/2020,Illinois,30357
8/2/2020,,227155
3/20/2020,Oregon,114
4/11/2020,Oregon,1447
12/13/2020,Kentucky,223104
4/16/2020,Connecticut,15884
11/13/2020,Florida,858585
5/15/2020,Louisiana,33903
12/18/2020,Indiana,453139
1/25/2021,Texas,2246845
7/6/2020,Tennessee,52155
3/13/2020,Wisconsin,9
12/29/2020,Mississippi,213055
4/24/2020,Nebraska,2421
8/11/2020,Pennsylvania,120281
11/2/2020,Kentucky,109670
7/12/2020,Maryland,73527
11/3/2020,,1
9/15/2020,Illinois,266305
2/19/2020,Arkansas,0
8/2/2020,Mississippi,61125
1/27/2020,Tennessee,0
10/31/2020,Massachusetts,164417
9/8/2020,South Carolina,125908
8/7/2020,Ohio,98675
2/4/2020,Tennessee,0
3/9/2020,Virginia,5
12/1/2020,Idaho,103305
1/3/2021,Georgia,690900
7/17/2020,Connecticut,47893
3/3/2020,Ohio,0
2/12/2020,Virginia,0
1/20/2021,South Carolina,399843
10/7/2020,,0
1/19/2021,New Mexico,164954
10/7/2020,New York,220268
8/28/2020,North Dakota,11484
2/23/2020,Kentucky,0
9/6/2020,Massachusetts,130623
12/4/2020,North Dakota,82504
7/30/2020,Minnesota,54464
10/11/2020,New York,223922
7/26/2020,North Dakota,5986
12/31/2020,Nebraska,166798
7/30/2020,Virginia,89888
7/15/2020,Pennsylvania,98446
7/6/2020,Oregon,10395
10/13/2020,,252613
4/3/2020,Oregon,899
11/27/2020,,3
11/30/2020,Mississippi,154411
9/22/2020,Arkansas,76981
2/15/2020,California,8
11/2/2020,,0
7/7/2020,New York,180749
1/28/2020,Washington,1
10/6/2020,New York,219456
7/5/2020,North Dakota,3816
11/6/2020,Indiana,200823
12/4/2020,Arkansas,167137
3/21/2020,Arkansas,118
10/31/2020,Wisconsin,237870
3/1/2020,Colorado,0
3/31/2020,Tennessee,2239
11/18/2020,Illinois,606771
1/15/2021,Tennessee,676039
7/3/2020,Kentucky,16376
5/31/2020,North Dakota,2577
2/28/2020,Tennessee,0
6/1/2020,Mississippi,16021
10/31/2020,Pennsylvania,208027
11/30/2020,Wisconsin,411730
4/3/2020,Connecticut,4915
7/20/2020,Oklahoma,25581
1/21/2021,Wisconsin,575688
2/17/2020,Massachusetts,1
12/21/2020,,3
7/30/2020,Tennessee,102871
11/6/2020,Kentucky,117505
2/23/2020,Arizona,1
6/8/2020,Idaho,3189
11/15/2020,,43016
5/26/2020,Mississippi,14044
3/14/2020,Tennessee,26
1/15/2021,Arizona,658186
11/25/2020,Oregon,68503
6/24/2020,Georgia,69639
9/20/2020,Washington,82548
5/16/2020,Tennessee,17374
5/1/2020,Wisconsin,7314
11/11/2020,Idaho,77121
7/19/2020,Alabama,67011
8/10/2020,South Carolina,101159
11/8/2020,New York,257817
12/19/2020,Ohio,614429
1/12/2021,Michigan,570150
10/25/2020,Arizona,238163
3/4/2020,Louisiana,0
8/10/2020,Washington,63647
10/19/2020,Maryland,136744
3/22/2020,Washington,1996
12/22/2020,North Dakota,90723
9/9/2020,California,739527
3/24/2020,West Virginia,39
3/7/2020,Mississippi,0
4/6/2020,Indiana,4944
9/11/2020,Minnesota,82716
4/25/2020,,150576
11/23/2020,Minnesota,276500
11/6/2020,Washington,114241
9/14/2020,Nebraska,38642
2/7/2020,Pennsylvania,0
7/8/2020,California,289468
4/19/2020,Kentucky,2960
10/15/2020,Oklahoma,110146
5/9/2020,Minnesota,11271
9/29/2020,Kentucky,67856
5/23/2020,Nevada,7696
12/20/2020,Iowa,267249
5/10/2020,Georgia,31546
6/2/2020,Virginia,46905
6/5/2020,,0
8/2/2020,Wyoming,2808
11/10/2020,Ohio,261482
4/9/2020,North Dakota,269
6/5/2020,Arkansas,8651
12/27/2020,Michigan,516326
6/8/2020,Nevada,9805
4/9/2020,Arkansas,1127
8/28/2020,Mississippi,81294
7/23/2020,Illinois,168100
9/25/2020,Florida,687656
6/4/2020,Kentucky,10705
12/3/2020,Colorado,247209
12/18/2020,Florida,1161953
5/5/2020,Colorado,17317
12/29/2020,Washington,240846
9/24/2020,Louisiana,164446
4/13/2020,Oregon,1584
10/3/2020,Texas,763010
4/16/2020,Indiana,9542
5/7/2020,South Carolina,7142
3/9/2020,Colorado,12
12/8/2020,Connecticut,138258
4/2/2020,New York,40572
7/26/2020,New York,187975
8/18/2020,Georgia,248712
3/5/2020,,0
12/8/2020,,3
3/7/2020,Idaho,0
7/25/2020,Wisconsin,51715
4/23/2020,Oklahoma,3017
7/29/2020,Georgia,182243
11/29/2020,Virginia,237836
8/3/2020,Iowa,45845
12/5/2020,Indiana,375019
1/8/2021,Connecticut,205994
1/6/2021,Louisiana,333524
11/8/2020,Indiana,210374
11/8/2020,Florida,832525
7/23/2020,Connecticut,48232
5/10/2020,Virginia,25070
8/30/2020,,33199
5/18/2020,Ohio,28272
2/28/2020,Minnesota,0
2/28/2020,Texas,0
2/6/2020,Tennessee,0
4/8/2020,Arkansas,1071
6/8/2020,Illinois,129139
6/10/2020,Maryland,60197
4/4/2020,Illinois,10357
8/16/2020,Arizona,193537
7/31/2020,Massachusetts,117612
7/13/2020,Alabama,55590
2/9/2020,Michigan,0
12/29/2020,Colorado,328408
6/25/2020,West Virginia,2694
5/28/2020,Oklahoma,6104
2/14/2020,Alabama,0
6/4/2020,,4508
3/17/2020,Virginia,68
9/9/2020,Massachusetts,131292
5/23/2020,Michigan,54365
4/23/2020,Kentucky,3481
7/8/2020,Michigan,74551
8/11/2020,Arkansas,50411
9/25/2020,,243123
10/10/2020,Ohio,167458
11/5/2020,Illinois,453750
3/12/2020,Idaho,0
7/26/2020,Minnesota,51803
7/11/2020,Ohio,64214
11/21/2020,Minnesota,262952
1/1/2021,Oregon,113909
11/29/2020,South Carolina,216129
9/25/2020,Connecticut,56587
1/17/2021,North Dakota,95907
2/12/2020,Texas,0
5/21/2020,,0
12/2/2020,Pennsylvania,375431
8/26/2020,Massachusetts,126503
10/8/2020,Iowa,96224
11/21/2020,New York,297988
5/21/2020,Indiana,29936
1/25/2020,Michigan,0
11/21/2020,Michigan,329021
4/14/2020,Idaho,1486
3/24/2020,Illinois,1535
3/18/2020,Illinois,288
10/27/2020,Arkansas,107679
7/20/2020,Oregon,14847
6/23/2020,Arizona,58179
1/26/2021,Iowa,314411
4/30/2020,Arizona,7648
9/10/2020,South Carolina,126592
10/20/2020,Oregon,40136
11/18/2020,,290788
10/26/2020,Pennsylvania,195695
12/9/2020,Idaho,116203
2/1/2020,Colorado,0
4/5/2020,West Virginia,324
9/12/2020,Tennessee,170891
8/3/2020,Oregon,19366
7/11/2020,Nevada,26862
3/3/2020,Pennsylvania,0
6/29/2020,Texas,153011
9/12/2020,Michigan,123058
9/2/2020,West Virginia,10642
9/13/2020,Oklahoma,76339
7/30/2020,Michigan,89781
5/14/2020,Massachusetts,82182
6/2/2020,,0
4/7/2020,Florida,14302
1/29/2020,Wyoming,0
6/26/2020,Oklahoma,11975
10/11/2020,Tennessee,214717
2/12/2020,Idaho,0
3/29/2020,Wisconsin,989
4/11/2020,California,20615
7/1/2020,Indiana,45952
3/24/2020,Indiana,365
5/3/2020,Nevada,5426
2/4/2020,Nevada,0
7/1/2020,New York,178604
5/23/2020,Oklahoma,5543
3/11/2020,Mississippi,0
1/25/2020,Oklahoma,0
4/12/2020,Iowa,1587
8/10/2020,Oklahoma,47067
1/17/2021,West Virginia,108821
6/13/2020,Tennessee,29541
9/25/2020,Nevada,77855
12/23/2020,New York,487062
9/21/2020,Oklahoma,86142
10/4/2020,Oklahoma,97580
8/20/2020,Oklahoma,54993
4/23/2020,Illinois,36934
2/2/2020,Minnesota,0
1/24/2020,Mississippi,0
7/31/2020,Louisiana,116280
10/8/2020,Wisconsin,149467
2/9/2020,Alabama,0
6/4/2020,Virginia,48532
10/1/2020,Colorado,71218
10/27/2020,California,904198
5/11/2020,,0
10/1/2020,Georgia,337302
6/20/2020,Indiana,42061
9/1/2020,Illinois,238217
5/17/2020,California,78839
8/12/2020,Virginia,103623
9/30/2020,Connecticut,57550
3/10/2020,North Dakota,0
3/26/2020,Michigan,2856
9/2/2020,Idaho,32664
2/26/2020,West Virginia,0
5/4/2020,,1843
3/8/2020,Nebraska,2
10/21/2020,Kentucky,90996
5/3/2020,Pennsylvania,49267
9/2/2020,Georgia,285667
8/29/2020,California,693839
5/14/2020,,186293
7/23/2020,California,425616
9/24/2020,California,790640
8/7/2020,Texas,474524
1/16/2021,Oregon,132412
5/19/2020,Ohio,28952
6/27/2020,Illinois,142130
1/24/2020,Iowa,0
11/23/2020,Washington,147537
3/30/2020,Minnesota,576
3/11/2020,,0
7/4/2020,Texas,191790
9/23/2020,Florida,682370
8/4/2020,Massachusetts,119203
1/1/2021,West Virginia,87820
3/14/2020,Louisiana,33
11/2/2020,Connecticut,73858
2/22/2020,Washington,1
11/25/2020,Minnesota,289303
10/11/2020,Michigan,149464
5/9/2020,Iowa,11671
3/24/2020,,39
10/21/2020,Massachusetts,152837
5/10/2020,Ohio,24081
11/8/2020,Idaho,72961
8/30/2020,Nebraska,34046
4/28/2020,South Carolina,5735
5/23/2020,Ohio,31408
8/19/2020,,0
3/1/2020,West Virginia,0
3/30/2020,Pennsylvania,4087
7/15/2020,New Mexico,15841
4/30/2020,Idaho,2015
4/20/2020,Louisiana,24523
2/29/2020,,0
8/13/2020,Oklahoma,49505
5/6/2020,Oklahoma,4201
4/22/2020,Ohio,14117
8/25/2020,,0
11/3/2020,Nevada,103025
11/7/2020,Mississippi,126689
5/9/2020,Mississippi,9501
6/14/2020,,206606
4/29/2020,Wyoming,544
11/5/2020,New York,251352
9/21/2020,Indiana,112027
1/21/2021,Mississippi,261167
12/16/2020,Illinois,870600
2/3/2020,Indiana,0
10/2/2020,,50375
4/2/2020,,0
10/26/2020,South Carolina,171501
5/16/2020,Connecticut,36703
4/2/2020,California,9191
3/1/2020,Texas,0
3/14/2020,New Mexico,7
3/7/2020,West Virginia,0
6/24/2020,,215192
11/22/2020,,4
12/17/2020,New Mexico,126045
12/8/2020,Iowa,246811
11/3/2020,Georgia,393834
6/25/2020,New York,176716
6/7/2020,,0
11/19/2020,Connecticut,99381
5/20/2020,Wisconsin,13431
7/23/2020,Kentucky,25147
2/28/2020,Illinois,2
4/25/2020,Indiana,14395
4/25/2020,New York,127030
12/6/2020,,340293
10/16/2020,Kentucky,85506
3/9/2020,Oklahoma,1
11/29/2020,Arizona,325995
9/9/2020,Nebraska,36917
5/17/2020,Iowa,14651
1/10/2021,Oklahoma,340732
7/12/2020,Colorado,36913
12/14/2020,West Virginia,64394
6/18/2020,Virginia,56793
6/11/2020,New York,172375
7/27/2020,Ohio,85177
1/13/2021,Wisconsin,558020
4/29/2020,Kentucky,4539
11/11/2020,Maryland,159900
6/25/2020,Mississippi,24516
5/4/2020,South Carolina,6757
5/24/2020,West Virginia,1771
8/25/2020,Wyoming,3634
3/15/2020,Texas,51
12/30/2020,Connecticut,183663
2/19/2020,Virginia,0
5/31/2020,Alabama,18245
6/6/2020,Indiana,36997
12/6/2020,Oklahoma,205999
2/7/2020,Wyoming,0
1/2/2021,Alabama,369458
6/6/2020,California,126016
8/11/2020,Texas,500620
8/14/2020,Kentucky,38298
4/11/2020,,0
8/6/2020,Alabama,96592
11/7/2020,Kentucky,119661
9/30/2020,Alabama,154701
8/24/2020,Virginia,114636
6/17/2020,Pennsylvania,80236
12/17/2020,Massachusetts,307197
8/9/2020,Texas,486362
3/16/2020,Massachusetts,197
6/12/2020,New Mexico,9526
1/25/2020,Tennessee,0
11/7/2020,North Dakota,54305
3/23/2020,Arkansas,197
8/3/2020,Nebraska,26956
11/3/2020,,69020
3/5/2020,Arkansas,0
1/7/2021,Louisiana,338054
2/8/2020,South Carolina,0
8/11/2020,California,574411
9/19/2020,Wyoming,4780
3/16/2020,Oregon,47
6/22/2020,Colorado,30705
7/29/2020,New Mexico,20136
6/21/2020,Alabama,30021
3/8/2020,Oregon,14
2/27/2020,Louisiana,0
5/29/2020,West Virginia,1972
9/30/2020,Oklahoma,93442
12/26/2020,Oregon,108326
4/4/2020,Mississippi,1455
3/13/2020,Louisiana,33
6/2/2020,Indiana,35237
11/7/2020,Louisiana,191715
8/3/2020,Pennsylvania,114155
2/12/2020,Iowa,0
11/24/2020,Colorado,206439
10/28/2020,Alabama,187706
1/27/2021,Kentucky,352943
8/29/2020,Georgia,277688
3/23/2020,South Carolina,298
8/27/2020,Illinois,228751
12/9/2020,Wisconsin,452180
2/25/2020,Wyoming,0
11/2/2020,,267994
8/24/2020,Oklahoma,58088
1/29/2020,Georgia,0
12/18/2020,Maryland,248754
12/17/2020,Kentucky,234021
7/28/2020,Minnesota,52947
5/22/2020,Virginia,35749
8/9/2020,New Mexico,22315
12/5/2020,Idaho,109705
2/5/2020,North Dakota,0
5/1/2020,Pennsylvania,46971
4/19/2020,Tennessee,6796
4/28/2020,Louisiana,27329
10/6/2020,Ohio,161299
12/10/2020,Nevada,178527
7/20/2020,Kentucky,23414
9/2/2020,Illinois,240345
12/24/2020,Michigan,508449
2/12/2020,Connecticut,0
8/21/2020,Virginia,112072
5/16/2020,Minnesota,15668
2/11/2020,Texas,0
11/7/2020,,0
8/19/2020,Florida,577891
4/4/2020,Tennessee,3103
6/4/2020,California,119807
1/9/2021,Georgia,748852
5/9/2020,Arkansas,3984
1/23/2020,,0
3/16/2020,Colorado,160
3/27/2020,,0
5/10/2020,Texas,38869
11/23/2020,Colorado,202289
9/24/2020,Arizona,215852
8/14/2020,Nevada,59955
7/18/2020,Texas,317730
5/27/2020,Massachusetts,94220
3/16/2020,Oklahoma,10
8/19/2020,Washington,68689
10/1/2020,Maryland,126222
9/19/2020,Kentucky,61106
3/19/2020,Colorado,277
1/21/2021,Oklahoma,370669
9/16/2020,Virginia,137460
1/19/2021,Iowa,306679
12/6/2020,North Dakota,83342
7/6/2020,Illinois,148987
9/18/2020,Arkansas,74082
9/10/2020,Idaho,34617
2/8/2020,Virginia,0
12/18/2020,Oklahoma,258939
9/15/2020,New York,207341
11/11/2020,Kentucky,127344
12/13/2020,New Mexico,119800
5/8/2020,West Virginia,1323
7/14/2020,Texas,275058
5/22/2020,Ohio,30794
8/28/2020,,234509
12/23/2020,Tennessee,541240
9/7/2020,Nebraska,35975
12/2/2020,Indiana,350970
4/9/2020,New Mexico,989
12/27/2020,Ohio,670525
11/7/2020,Minnesota,174954
12/6/2020,Wyoming,36317
1/16/2021,Wyoming,49068
4/27/2020,Pennsylvania,42050
9/22/2020,Virginia,142590
3/19/2020,Oklahoma,49
4/19/2020,Indiana,11210
5/7/2020,Arizona,9945
5/30/2020,Florida,54029
6/9/2020,Arkansas,10080
10/1/2020,Connecticut,57742
11/23/2020,Connecticut,106740
9/6/2020,Mississippi,87130
3/6/2020,Florida,3
4/27/2020,North Dakota,942
1/31/2020,Mississippi,0
3/1/2020,,0
8/9/2020,Virginia,100750
8/21/2020,,29577
10/1/2020,Michigan,139012
12/12/2020,Minnesota,375398
10/25/2020,Minnesota,133802
7/8/2020,Mississippi,33591
1/24/2020,Nevada,0
5/20/2020,Oklahoma,5407
5/6/2020,Tennessee,13938
2/6/2020,Mississippi,0
5/23/2020,,200199
5/1/2020,New Mexico,3513
1/26/2020,Massachusetts,0
6/7/2020,Washington,23729
7/3/2020,,7787
2/23/2020,Indiana,0
11/16/2020,,43585
5/7/2020,Oklahoma,4210
12/9/2020,,59458
11/20/2020,Idaho,89764
7/7/2020,South Carolina,47352
3/14/2020,Ohio,5
8/8/2020,California,545787
1/1/2021,Louisiana,315275
8/6/2020,Pennsylvania,116521
7/21/2020,Georgia,151536
2/6/2020,Michigan,0
4/12/2020,Tennessee,5308
9/20/2020,Nevada,75610
4/4/2020,Minnesota,865
7/8/2020,New York,181152
